method,target,N,seed,fold,n_train,n_val,n_test,runtime_seconds,pearson,rmse,mae
ncr_contrastive,fluid_intelligence,412,1,3,280,50,82,55.61459946632385,0.3027890848148074,5.0765580590192885,4.38603672383598
no_prior_ridge,fluid_intelligence,412,1,3,280,50,82,35.42686176300049,0.3027890848148069,5.07655805901929,4.386036723835981
ncr_contrastive,fluid_intelligence,412,1,4,280,50,82,55.43896269798279,0.3384709974981834,4.661343082181408,3.848117373601069
no_prior_ridge,fluid_intelligence,412,1,4,280,50,82,40.61243844032288,0.3384709974981837,4.661343082181406,3.8481173736010654
ncr_contrastive,fluid_intelligence,412,2,0,279,50,83,62.23723340034485,0.4011024640728792,4.793346042779881,4.118076117508755
no_prior_ridge,fluid_intelligence,412,2,0,279,50,83,32.545708656311035,0.4011024640728799,4.79334604277988,4.118076117508752
ncr_contrastive,fluid_intelligence,412,2,1,279,50,83,64.92659163475037,0.3010069787709812,4.621584247559408,4.018475221469582
no_prior_ridge,fluid_intelligence,412,2,1,279,50,83,31.82179355621338,0.3010069787709818,4.621584247559405,4.018475221469581
ncr_contrastive,fluid_intelligence,412,2,2,280,50,82,59.90430474281311,0.3645295342049927,4.5334600989149605,3.643775801695812
no_prior_ridge,fluid_intelligence,412,2,2,280,50,82,32.424418687820435,0.3645295342049934,4.533460098914958,3.643775801695816
ncr_contrastive,fluid_intelligence,412,2,3,280,50,82,56.08918738365173,0.4798086825361736,4.512212922986446,3.7246188562810887
no_prior_ridge,fluid_intelligence,412,2,3,280,50,82,30.486331462860107,0.479808682536174,4.512212922986445,3.7246188562810896
ncr_contrastive,fluid_intelligence,412,2,4,280,50,82,52.88824343681336,0.3136371880969701,4.617896551599729,3.97554291711899
no_prior_ridge,fluid_intelligence,412,2,4,280,50,82,35.41972899436951,0.3136371880969706,4.617896551599728,3.9755429171189887
ncr_contrastive,working_memory,412,0,0,279,50,83,50.97105002403259,0.1441694351667021,10.771485575162249,8.659998798672143
no_prior_ridge,working_memory,412,0,0,279,50,83,35.21690273284912,0.1894563270283568,10.223374223364942,8.469804332613938
ncr_contrastive,working_memory,412,0,1,279,50,83,60.5140175819397,0.1781225375437793,11.586314609288696,9.235481166712288
no_prior_ridge,working_memory,412,0,1,279,50,83,29.482994556427,0.1781225375437813,11.586314609288674,9.23548116671228
ncr_contrastive,working_memory,412,0,2,280,50,82,62.20902132987976,0.1644393331898228,11.835438546730977,9.479632138746258
no_prior_ridge,working_memory,412,0,2,280,50,82,30.73775053024292,0.1644393331898222,11.83543854673098,9.479632138746258
ncr_contrastive,working_memory,412,0,3,280,50,82,57.93530249595642,0.2030133563784407,11.381126859757968,9.472463974328802
no_prior_ridge,working_memory,412,0,3,280,50,82,46.0746054649353,0.2043248286260847,11.380085615744765,9.472004890101324
ncr_contrastive,working_memory,412,0,4,280,50,82,72.44952774047852,0.3092289061256016,13.061735491147036,10.913840716197752
no_prior_ridge,working_memory,412,0,4,280,50,82,31.776902675628666,0.3092289061256007,13.06173549114704,10.913840716197756
ncr_contrastive,working_memory,412,1,0,279,50,83,58.281014919281006,0.4221445383155527,10.309122719003168,8.4889443628959
no_prior_ridge,working_memory,412,1,0,279,50,83,32.82368350028992,0.4806122729980699,10.016348080691309,8.382144094789242
ncr_contrastive,working_memory,412,1,1,279,50,83,73.01036620140076,0.071251139349994,12.424303654743118,10.099464582014066
