model,prior,target,seed,fold,split_id,n_train,n_val,n_test,best_hidden,best_dropout,best_learning_rate,best_epoch,parameters,pearson,rmse,mae,runtime_seconds,I_XZ_final,I_ZY_final,probe_r2_final,bypass_alpha,best_alpha1,best_alpha2,best_val_rmse
llm_gated,llm_wm,fluid_intelligence,9,2,seed09_fold02,280,50,82,32.0,0.5,0.003,10.0,213123.0,0.24312299316326366,4.653515951745962,3.945942553078256,92.36985158920288,2.493381977081299,0.3196789026260376,,0.5025955438613892,,,
llm_gated,llm_wm,fluid_intelligence,9,3,seed09_fold03,280,50,82,16.0,0.5,0.001,13.0,61507.0,0.25385375712868324,4.913658396957202,4.101825388466439,87.57047367095947,2.3835222721099854,0.3998091220855713,,0.4973391443490982,,,
llm_gated,llm_wm,fluid_intelligence,9,4,seed09_fold04,280,50,82,16.0,0.2,0.003,10.0,61507.0,0.12049605313245892,4.984532263768931,4.188192844390869,86.60600686073303,2.1546483039855957,0.3973158597946167,,0.5045678913593292,,,
llm_gated,llm_fluid,fluid_intelligence,0,0,seed00_fold00,279,50,83,16.0,0.5,0.001,14.0,61507.0,0.22206139881204934,4.3728054361378,3.5424360826791053,114.83887004852295,2.614406108856201,0.3702269494533539,,0.5017723441123962,,,
llm_gated,llm_fluid,fluid_intelligence,0,1,seed00_fold01,279,50,83,16.0,0.5,0.001,10.0,61507.0,0.24081421149236348,4.9507952544647935,4.110992385680417,83.3202395439148,2.0426270961761475,0.35199642181396484,,0.5014029741287231,,,
llm_gated,llm_fluid,fluid_intelligence,0,2,seed00_fold02,280,50,82,32.0,0.5,0.001,10.0,213123.0,0.1742059585084147,5.461664486152338,4.690673769974127,110.36693954467773,2.234797716140747,0.38667768239974976,,0.5009112060070038,,,
llm_gated,llm_fluid,fluid_intelligence,0,3,seed00_fold03,280,50,82,32.0,0.2,0.001,18.0,213123.0,0.2863093161718191,4.847451838216048,3.880264805584419,131.24604988098145,3.0302846431732178,0.4376481771469116,,0.5013265907764435,,,
llm_gated,llm_fluid,fluid_intelligence,0,4,seed00_fold04,280,50,82,32.0,0.5,0.003,10.0,213123.0,0.2947728030566381,4.944110471807019,4.084593796148533,85.14755320549011,2.2804784774780273,0.2473834753036499,,0.49858102202415466,,,
llm_gated,llm_fluid,fluid_intelligence,1,0,seed01_fold00,279,50,83,32.0,0.2,0.003,16.0,213123.0,0.0331787120116838,5.487650505903048,4.3273310029363055,135.9118995666504,2.26029896736145,0.3444754481315613,,0.5046039521694183,,,
llm_gated,llm_fluid,fluid_intelligence,1,1,seed01_fold01,279,50,83,16.0,0.2,0.001,13.0,61507.0,0.25789566728051927,4.716075755316137,4.043420757155821,97.62779235839844,2.2073707580566406,0.37325313687324524,,0.5006452202796936,,,
llm_gated,llm_fluid,fluid_intelligence,1,2,seed01_fold02,280,50,82,16.0,0.5,0.001,12.0,61507.0,0.3800893730122923,4.9064990812023925,4.253933336676621,83.64600253105164,2.353172540664673,0.5264452695846558,,0.5011600703001022,,,
llm_gated,llm_fluid,fluid_intelligence,1,3,seed01_fold03,280,50,82,32.0,0.5,0.001,28.0,213123.0,0.11496440355811263,6.077324872198602,4.881237076549995,142.7773232460022,2.5542705059051514,0.41706234216690063,,0.49730487167835236,,,
llm_gated,llm_fluid,fluid_intelligence,1,4,seed01_fold04,280,50,82,16.0,0.2,0.001,26.0,61507.0,0.26417089088612167,5.317113510979068,4.195972163502763,126.01609992980957,2.264832019805908,0.5750874280929565,,0.5045313239097595,,,
llm_gated,llm_fluid,fluid_intelligence,2,0,seed02_fold00,279,50,83,32.0,0.2,0.001,11.0,213123.0,0.3342665801045786,4.990022886728864,4.221975039286786,83.33724331855774,2.0834720134735107,0.3694196045398712,,0.5016124546527863,,,
llm_gated,llm_fluid,fluid_intelligence,2,1,seed02_fold01,279,50,83,16.0,0.5,0.003,18.0,61507.0,0.27279632444350355,5.226803837998552,4.23729517373694,103.01985216140747,1.2680643796920776,0.5616525411605835,,0.4980575442314148,,,
