target,seed,fold,prior_type,selected_variant,selected_alpha,selected_eta,inner_pearson
working_memory,5,1,unrelated,topk_0.05,1000000.0,0.0,0.13859816345067968
working_memory,5,1,shuffled,pca_8,1000000.0,0.0,0.14361708151063324
working_memory,5,1,random,weighted_0.5,1000000.0,0.75,0.14709495418159577
working_memory,5,2,matched,topk_0.05,1000000.0,0.0,0.2539447247552673
working_memory,5,2,unrelated,topk_0.05,1000000.0,0.0,0.2539447247552673
working_memory,5,2,shuffled,topk_0.05,1000000.0,0.0,0.2539447247552673
working_memory,5,2,random,topk_0.05,1000000.0,0.0,0.2539447247552673
working_memory,5,3,matched,topk_0.05,1000000.0,0.0,0.18629685958345232
working_memory,5,3,unrelated,topk_0.05,1000000.0,0.0,0.18629685958345232
working_memory,5,3,shuffled,topk_0.05,1000000.0,0.0,0.18629685958345232
working_memory,5,3,random,topk_0.05,1000000.0,0.0,0.18629685958345232
working_memory,5,4,matched,topk_0.05,1000000.0,0.0,0.1425023768685546
working_memory,5,4,unrelated,topk_0.05,10000.0,0.0,0.1425023768685546
working_memory,5,4,shuffled,topk_0.05,1000000.0,0.0,0.1425023768685546
working_memory,5,4,random,topk_0.05,1000000.0,0.0,0.1425023768685546
working_memory,6,0,matched,topk_0.05,1000000.0,0.0,0.2863183520689744
working_memory,6,0,unrelated,topk_0.05,1000000.0,0.0,0.2863183520689744
working_memory,6,0,shuffled,pca_8,100.0,0.25,0.2870776249307399
working_memory,6,0,random,topk_0.05,1000000.0,0.0,0.2863183520689744
working_memory,6,1,matched,topk_0.05,10000.0,0.0,0.20937030430476455
working_memory,6,1,unrelated,topk_0.05,10000.0,0.0,0.22917682775436704
working_memory,6,1,shuffled,pca_32,100.0,0.0,0.23023211194651755
working_memory,6,1,random,topk_0.05,10000.0,0.0,0.20937030430476455
working_memory,6,2,matched,topk_0.05,1000000.0,0.0,0.26698251963697844
working_memory,6,2,unrelated,topk_0.05,1000000.0,0.0,0.26698251963697844
working_memory,6,2,shuffled,topk_0.05,1000000.0,0.0,0.26698251963697844
working_memory,6,2,random,topk_0.05,1000000.0,0.0,0.26698251963697844
working_memory,6,3,matched,topk_0.05,1000000.0,0.0,0.19469849210901893
working_memory,6,3,unrelated,topk_0.1,1000000.0,0.0,0.19926772541022347
working_memory,6,3,shuffled,topk_0.05,1000000.0,0.0,0.19469849210901893
working_memory,6,3,random,topk_0.05,1000000.0,0.0,0.19469849210901893
working_memory,6,4,matched,topk_0.05,1000000.0,0.0,0.029352532211172795
working_memory,6,4,unrelated,topk_0.05,1000000.0,0.0,0.029352532211172795
