edge_idx,roi_i,roi_j,lor_mean,lor_sd,delta_pmi,pmi_fluid,pmi_background
160,1,47,-0.11123111330262714,0.34236214298047934,3.0669609236174877,0.0,-3.0669609236174877
161,1,48,-0.11123111330262714,0.3423621429804794,2.721543258522555,0.0,-2.721543258522555
162,1,49,0.0,0.0,4.3910201416917065,0.0,-4.3910201416917065
163,1,50,0.0,0.0,5.879704193507884,0.0,-5.879704193507884
164,1,51,0.0,0.0,3.060565967585371,0.0,-3.060565967585371
165,1,52,0.0,0.0,5.122379585237449,0.0,-5.122379585237449
166,1,53,0.0,0.0,5.870856661865672,0.0,-5.870856661865672
167,1,54,0.0,0.0,5.7816625782387465,0.0,-5.7816625782387465
168,1,55,-0.11123111330262714,0.34236214298047934,4.832214170612651,0.0,-4.832214170612651
169,1,56,-0.11123111330262714,0.34236214298047934,4.8289776382937255,0.0,-4.8289776382937255
170,1,57,-0.05561555665131357,0.24872033055765544,3.3216466928506527,0.0,-3.3216466928506527
171,1,58,-0.1668466699539407,0.40749245678960794,4.493714897834309,0.0,-4.493714897834309
